ID,x,y,Especie,Subespecie,Nombre común,Total,Lugar,lat,lng,id
1,592316.9665,908971.0854,Saimiri oerstedii,,Mono Tití ,16,"Golfito, CR-PU, CR",8.219842,-83.162097,68741612
2,596169.1757,910859.3842,Saimiri oerstedii,,Mono Tití ,22,"Golfito, CR-PU, CR",8.236841,-83.127098,68742025
3,572128.2709,928824.9517,Cebus  imitator,,Mono Carablanca,1,"Osa, CR-PU, CR",8.399703,-83.34503,69177401
4,578744.5981,928895.3221,Alouatta palliata,,Mono Congo,6,"Provincia de Puntarenas, Punto Jimenez, Costa Rica",8.400235,-83.284952,68533286
5,579940.4902,931926.4596,Ateles geoffroyi ,ornatus,Mono Araña,14,"Golfito, CR-PU, CR",8.427622,-83.274042,68966178
6,599803.6476,932325.5721,Alouatta palliata,,Mono Congo,1,"Provincia de Puntarenas, Costa Rica",8.430856,-83.093665,68305515
7,599811.027,932327.8267,Alouatta palliata,,Mono Congo,1,"Provincia de Puntarenas, Costa Rica",8.430876,-83.093598,68498361
8,599505.8117,932768.0821,Alouatta palliata,,Mono Congo,7,"Provincia de Puntarenas, Costa Rica",8.434863,-83.09636,68697999
9,599506.4053,932771.8227,Alouatta palliata,,Mono Congo,7,"Provincia de Puntarenas, Costa Rica",8.434897,-83.096355,68698000
10,599512.803,932810.3545,Cebus  imitator,,Mono Carablanca,25,"Provincia de Puntarenas, Costa Rica",8.435245,-83.096296,68698166
11,579001.8413,933501.4638,Cebus  imitator,,Mono Carablanca,10,"Golfito, CR-PU, CR",8.441879,-83.282539,68965646
12,588454.3247,934553.2678,Saimiri oerstedii,,Mono Tití,18,"Puntarenas, CR",8.451223,-83.196681,68696403
13,577392.1588,936625.6565,Saimiri oerstedii,,Mono Tití,1,"Puntarenas, CR",8.470154,-83.297106,68416857
14,577421.7205,939425.0788,Alouatta palliata,,Mono Congo,1,"Provincia de Puntarenas, Costa Rica",8.495466,-83.296791,69007381
15,577125.207,943049.879,Alouatta palliata,,Mono Congo,1,"Provincia de Puntarenas, Costa Rica",8.528246,-83.299424,68343864
16,579724.2684,943695.6454,Saimiri oerstedii,,Mono Tití,1,"Puntarenas, CR",8.534042,-83.275806,68577793
17,575144.3805,943961.3523,Cebus  imitator,,Mono Carablanca,1,"El Banb??, Provincia de Puntarenas, Costa Rica",8.53652,-83.317402,68746950
18,575132.4801,943969.5593,Cebus  imitator,,Mono Carablanca,1,"El Banb??, Provincia de Puntarenas, Costa Rica",8.536594,-83.31751,68736650
19,573953.1257,945245.345,Ateles geoffroyi,,Mono Araña,1,"Golfito, CR-PU, CR",8.548148,-83.328202,68133865
20,566812.7492,945806.9284,Alouatta palliata,,Mono Congo,1,Agujas,8.553333,-83.393056,68466805
21,558962.5263,946723.1371,Cebus  imitator,,Mono Carablanca,1,Osa Peninsula,8.561723,-83.464355,68682758
22,573257.555,948999.247,Saimiri oerstedii,,Mono Tití,1,"Puntarenas, CR",8.582102,-83.334462,68419933
23,569241.2169,950546.2786,Ateles geoffroyi,,Mono Araña,18,"Golfito, CR-PU, CR",8.596151,-83.370925,68532159
24,585883.7271,955617.4925,Saimiri oerstedii,,Mono Tití,1,"Puntarenas, CR",8.641727,-83.219638,68694826
25,560267.6749,957600.0676,Ateles geoffroyi,,Mono Araña,1,"Puntarenas, CR",8.660057,-83.452358,68109872
26,553078.9447,960076.2405,Saimiri oerstedii ,oerstedii,Mono Tití ,60,"Puntarenas, CR",8.682535,-83.51765,68466468
27,553078.9447,960076.2405,Saimiri oerstedii ,oerstedii,Mono Tití ,60,"Puntarenas, CR",8.682535,-83.51765,68466468
28,552881.3459,967752.6273,Cebus  imitator,,Mono Carablanca,1,"Osa, CR-PU, CR",8.751949,-83.519357,69176080
29,552872.8848,967795.9025,Cebus  imitator,,Mono Carablanca,1,"Provincia de Puntarenas, Costa Rica",8.75234,-83.519433,68860160
