x,y,Especie,Subespecie,Nombre_com,Total,Lugar,latitude,longitude,Plataforma,Continent,objectid_1,objectid,cod_catalo,codigo_dta,provincia,canton,distrito,area,cod_provin,cod_canton,region,version
572128.2709,928824.9517,Cebus  imitator,No,Mono Carablanca,1,"Osa, CR-PU, CR",8.399703,-83.34503,iNaturalist,Si,4,4,160105,60702,Puntarenas,Golfito,Puerto Jiménez,721,6,607,Brunca,20200616
578744.5981,928895.3221,Alouatta palliata,No,Mono Congo,6,"Provincia de Puntarenas, Punto Jimenez, Costa Rica",8.400235,-83.284952,iNaturalist,Si,4,4,160105,60702,Puntarenas,Golfito,Puerto Jiménez,721,6,607,Brunca,20200616
579940.4902,931926.4596,Ateles geoffroyi,ornatus,Mono Araña,14,"Golfito, CR-PU, CR",8.427622,-83.274042,iNaturalist,Si,4,4,160105,60702,Puntarenas,Golfito,Puerto Jiménez,721,6,607,Brunca,20200616
599803.6476,932325.5721,Alouatta palliata,No,Mono Congo,1,"Provincia de Puntarenas, Costa Rica",8.430856,-83.093665,iNaturalist,Si,389,473,160105,60704,Puntarenas,Golfito,Pavón,353,6,607,Brunca,20200616
599811.027,932327.8267,Alouatta palliata,No,Mono Congo,1,"Provincia de Puntarenas, Costa Rica",8.430876,-83.093598,iNaturalist,Si,389,473,160105,60704,Puntarenas,Golfito,Pavón,353,6,607,Brunca,20200616
599505.8117,932768.0821,Alouatta palliata,No,Mono Congo,7,"Provincia de Puntarenas, Costa Rica",8.434863,-83.09636,iNaturalist,Si,389,473,160105,60704,Puntarenas,Golfito,Pavón,353,6,607,Brunca,20200616
599506.4053,932771.8227,Alouatta palliata,No,Mono Congo,7,"Provincia de Puntarenas, Costa Rica",8.434897,-83.096355,iNaturalist,Si,389,473,160105,60704,Puntarenas,Golfito,Pavón,353,6,607,Brunca,20200616
599512.803,932810.3545,Cebus  imitator,No,Mono Carablanca,25,"Provincia de Puntarenas, Costa Rica",8.435245,-83.096296,iNaturalist,Si,389,473,160105,60704,Puntarenas,Golfito,Pavón,353,6,607,Brunca,20200616
579001.8413,933501.4638,Cebus  imitator,No,Mono Carablanca,10,"Golfito, CR-PU, CR",8.441879,-83.282539,iNaturalist,Si,4,4,160105,60702,Puntarenas,Golfito,Puerto Jiménez,721,6,607,Brunca,20200616
577392.1588,936625.6565,Saimiri oerstedii,No,Mono Tití,1,"Puntarenas, CR",8.470154,-83.297106,iNaturalist,Si,4,4,160105,60702,Puntarenas,Golfito,Puerto Jiménez,721,6,607,Brunca,20200616
577421.7205,939425.0788,Alouatta palliata,No,Mono Congo,1,"Provincia de Puntarenas, Costa Rica",8.495466,-83.296791,iNaturalist,Si,4,4,160105,60702,Puntarenas,Golfito,Puerto Jiménez,721,6,607,Brunca,20200616
577125.207,943049.879,Alouatta palliata,No,Mono Congo,1,"Provincia de Puntarenas, Costa Rica",8.528246,-83.299424,iNaturalist,Si,4,4,160105,60702,Puntarenas,Golfito,Puerto Jiménez,721,6,607,Brunca,20200616
575144.3805,943961.3523,Cebus  imitator,No,Mono Carablanca,1,"El Banbó, Provincia de Puntarenas, Costa Rica",8.53652,-83.317402,iNaturalist,Si,4,4,160105,60702,Puntarenas,Golfito,Puerto Jiménez,721,6,607,Brunca,20200616
575132.4801,943969.5593,Cebus  imitator,No,Mono Carablanca,1,"El Banbó, Provincia de Puntarenas, Costa Rica",8.536594,-83.31751,iNaturalist,Si,4,4,160105,60702,Puntarenas,Golfito,Puerto Jiménez,721,6,607,Brunca,20200616
573953.1257,945245.345,Ateles geoffroyi,No,Mono Araña,1,"Golfito, CR-PU, CR",8.548148,-83.328202,iNaturalist,Si,4,4,160105,60702,Puntarenas,Golfito,Puerto Jiménez,721,6,607,Brunca,20200616
566812.7492,945806.9284,Alouatta palliata,No,Mono Congo,1,Agujas,8.553333,-83.393056,iNaturalist,Si,4,4,160105,60702,Puntarenas,Golfito,Puerto Jiménez,721,6,607,Brunca,20200616
558962.5263,946723.1371,Cebus  imitator,No,Mono Carablanca,1,Osa Peninsula,8.561723,-83.464355,iNaturalist,Si,4,4,160105,60702,Puntarenas,Golfito,Puerto Jiménez,721,6,607,Brunca,20200616
585883.7271,955617.4925,Saimiri oerstedii,No,Mono Tití,1,"Puntarenas, CR",8.641727,-83.219638,iNaturalist,Si,6,6,160105,60701,Puntarenas,Golfito,Golfito,356,6,607,Brunca,20200616
560267.6749,957600.0676,Ateles geoffroyi,No,Mono Araña,1,"Puntarenas, CR",8.660057,-83.452358,iNaturalist,Si,4,4,160105,60702,Puntarenas,Golfito,Puerto Jiménez,721,6,607,Brunca,20200616
553078.9447,960076.2405,Saimiri oerstedii,oerstedii,Mono Tití,60,"Puntarenas, CR",8.682535,-83.51765,iNaturalist,Si,13,13,160105,60503,Puntarenas,Osa,Sierpe,634,6,605,Brunca,20200616
552881.3459,967752.6273,Cebus  imitator,No,Mono Carablanca,1,"Osa, CR-PU, CR",8.751949,-83.519357,iNaturalist,Si,13,13,160105,60503,Puntarenas,Osa,Sierpe,634,6,605,Brunca,20200616
552872.8848,967795.9025,Cebus  imitator,No,Mono Carablanca,1,"Provincia de Puntarenas, Costa Rica",8.75234,-83.519433,iNaturalist,Si,13,13,160105,60503,Puntarenas,Osa,Sierpe,634,6,605,Brunca,20200616
554428.638,981804.0946,Saimiri oerstedii,No,Mono Tití,30,"Osa, CR-PU, CR",8.878986,-83.505125,iNaturalist,Si,13,13,160105,60503,Puntarenas,Osa,Sierpe,634,6,605,Brunca,20200616
565743.5013,987852.1663,Saimiri oerstedii,No,Mono Tití,27,"Osa, CR-PU, CR",8.933522,-83.402163,iNaturalist,Si,16,16,160105,60502,Puntarenas,Osa,Palmar,251,6,605,Brunca,20200616
562936.8014,991651.5555,Alouatta palliata,No,Mono Congo,3,"Provincia de Puntarenas, Costa Rica",8.967916,-83.427631,iNaturalist,Si,16,16,160105,60502,Puntarenas,Osa,Palmar,251,6,605,Brunca,20200616
559023.2196,992450.3768,Alouatta palliata,No,Mono Congo,10,"Provincia de Puntarenas, Costa Rica",8.975192,-83.463211,iNaturalist,Si,16,16,160105,60502,Puntarenas,Osa,Palmar,251,6,605,Brunca,20200616
559021.8072,992458.2859,Alouatta palliata,No,Mono Congo,9,"Provincia de Puntarenas, Costa Rica",8.975264,-83.463223,iNaturalist,Si,16,16,160105,60502,Puntarenas,Osa,Palmar,251,6,605,Brunca,20200616
